
201019*153012.720         0.0000000
201019*153404.146  59597488.53766710310         0.0000000
201019*153405.145  59597381.00085350130         0.0000000
201019*153406.143  59597481.17640139910         0.0000000
201019*153407.141  59597335.98622649910         0.0000000
201019*153408.140  59597426.40819050370         0.0000000
201019*153409.138  59597455.53557209670         0.0000000
201019*153410.137  59597408.57716509700         0.0000000
201019*153411.151  59597486.97701770070         0.0000000
201019*153412.149  59597438.99450270090         0.0000000
201019*153413.147  59597388.63597559930         0.0000000
201019*153414.146  59597481.89323639870         0.0000000
201019*153415.144  59597353.96664740140         0.0000000
201019*153416.143  59597249.39261440190         0.0000000
201019*153417.141  59597331.51544740050         0.0000000
201019*153418.140  59597293.71747159960         0.0000000
201019*153419.138  59597523.03436230120         0.0000000
201019*153420.136  59597482.06337589770         0.0000000
201019*153421.150  59597259.60081250220         0.0000000
201019*153422.149  59597307.27617070080         0.0000000
201019*153423.147  59597466.32514090090         0.0000000
201019*153424.146  59597429.60617169740         0.0000000
201019*153425.144  59597387.67134760320         0.0000000
201019*153426.142  59597338.38677930090         0.0000000
201019*153427.141  59597463.59646130350         0.0000000
201019*153428.139  59597538.31788250060         0.0000000
201019*153429.138  59597358.99541330340         0.0000000
201019*153430.136  59597399.04923249780         0.0000000
201019*153431.150  59597412.65373229980         0.0000000
201019*153432.148  59597382.67197079960         0.0000000
201019*153433.147  59597385.92616470160         0.0000000
201019*153434.145  59597239.44028519840         0.0000000
201019*153435.144  59597459.22576469930         0.0000000
201019*153436.142  59597323.83409260210         0.0000000
201019*153437.140  59597378.47064790130         0.0000000
201019*153438.139  59597555.02766609940         0.0000000
201019*153439.137  59597317.16236869990         0.0000000
201019*153440.136  59597323.65590240060         0.0000000
201019*153441.150  59597476.97024010120         0.0000000
201019*153442.148  59597305.09610749780         0.0000000
201019*153443.146  59597331.65597770360         0.0000000
201019*153444.145  59597354.67286349830         0.0000000
201019*153445.143  59597324.87057500330         0.0000000
201019*153446.142  59597225.60606519880         0.0000000
201019*153447.140  59597235.37011820080         0.0000000
201019*153448.138  59597197.36559479680         0.0000000
201019*153449.137  59597232.55747179690         0.0000000
201019*153450.135  59597320.53344350310         0.0000000
201019*153451.149  59597274.78590819980         0.0000000
201019*153452.148  59597244.12358660250         0.0000000
201019*153453.146  59597231.50358200070         0.0000000
201019*153454.144  59597317.18695619700         0.0000000
201019*153455.143  59597449.94590529800         0.0000000
201019*153456.141  59597327.25944829730         0.0000000
201019*153457.140  59597273.90735639630         0.0000000
201019*153458.138  59597075.04990530010         0.0000000
